PLAYER_ID,SEASON,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
201567,2021-22,1.0,4.57,10.04,0.455,0.468,-0.013
201567,2022-23,1.0,4.16,8.37,0.497,0.487,0.01
201567,2023-24,1.0,3.25,6.98,0.466,0.497,-0.031
201567,2024-25,1.0,2.71,5.24,0.518,0.506,0.012
201568,2015-16,1.0,4.58,9.66,0.475,0.447,0.027
201568,2016-17,1.0,4.82,11.15,0.433,0.448,-0.015
201568,2017-18,1.0,5.52,12.43,0.444,0.458,-0.014
201568,2018-19,1.0,5.81,12.1,0.48,0.464,0.016
201568,2019-20,1.0,4.89,10.11,0.483,0.472,0.012
201568,2020-21,1.0,5.02,10.35,0.485,0.468,0.017
201568,2021-22,1.0,4.42,9.08,0.487,0.465,0.022
201568,2023-24,1.0,2.96,5.7,0.519,0.484,0.035
201569,2015-16,1.0,3.51,7.78,0.451,0.439,0.012
201569,2016-17,1.0,3.68,8.93,0.412,0.447,-0.035
201569,2017-18,1.0,3.85,8.88,0.434,0.451,-0.017
201569,2018-19,1.0,4.24,9.19,0.461,0.454,0.007
201569,2019-20,1.0,3.22,8.33,0.387,0.462,-0.075
201569,2020-21,1.0,3.37,7.93,0.425,0.453,-0.028
201569,2021-22,1.0,3.14,7.72,0.407,0.455,-0.048
201569,2022-23,1.0,3.63,7.41,0.49,0.468,0.022
201569,2023-24,1.0,3.44,7.63,0.451,0.466,-0.016
201569,2024-25,1.0,2.62,5.46,0.48,0.459,0.021
201571,2015-16,1.0,2.58,5.39,0.479,0.429,0.05
201571,2016-17,1.0,2.71,5.81,0.466,0.436,0.03
201571,2017-18,1.0,3.73,7.69,0.485,0.445,0.04
201571,2018-19,1.0,4.3,8.8,0.489,0.446,0.043
201571,2019-20,1.0,3.37,7.82,0.43,0.444,-0.014
201571,2020-21,1.0,3.02,6.19,0.488,0.448,0.04
201571,2021-22,1.0,2.87,5.07,0.566,0.448,0.118
201572,2015-16,1.0,6.9,15.12,0.457,0.479,-0.023
201572,2016-17,1.0,6.19,13.48,0.459,0.478,-0.019
201572,2017-18,1.0,6.28,13.89,0.452,0.475,-0.022
201572,2018-19,1.0,9.09,20.69,0.439,0.481,-0.042
201572,2019-20,1.0,8.34,19.55,0.427,0.48,-0.053
201572,2020-21,1.0,8.96,19.8,0.452,0.489,-0.036
201572,2021-22,1.0,6.0,14.31,0.419,0.483,-0.064
201572,2022-23,1.0,10.37,22.56,0.46,0.505,-0.045
201572,2023-24,1.0,10.57,22.16,0.477,0.498,-0.021
201572,2024-25,1.0,8.91,19.05,0.468,0.488,-0.02
201573,2015-16,1.0,3.52,8.33,0.423,0.436,-0.014
