ALL_STAR_ID,ALL_STAR_NAME,GROUP_ID,GROUP_NAME,LINEUP_ARCHETYPE,SEASON
2544,LeBron James,2544-2747-101112-201565-201567,L. James - J. Smith - C. Frye - D. Rose - K. Love,All Around Guard-Glue guy-Stretch Big-Stretch Big,2017-18
2544,LeBron James,2544-2747-101112-101181-203109,L. James - J. Smith - C. Frye - J. Calderon - J. Crowder,All Around Guard-Glue guy-Movement Shooter-Stretch Big,2017-18
2544,LeBron James,2544-2747-201565-202684-203109,L. James - J. Smith - D. Rose - T. Thompson - J. Crowder,All Around Guard-Glue guy-Glue guy-Rim Runner/Protector,2017-18
2544,LeBron James,2544-2747-201567-202684-203903,L. James - J. Smith - K. Love - T. Thompson - J. Clarkson,All Around Guard-Rim Runner/Protector-Shot Creator Guard-Stretch Big,2017-18
2544,LeBron James,2544-2747-202684-202697-203109,L. James - J. Smith - T. Thompson - I. Shumpert - J. Crowder,All Around Guard-All Around Guard-Glue guy-Rim Runner/Protector,2017-18
2544,LeBron James,2544-2594-201588-202684-203918,L. James - K. Korver - G. Hill - T. Thompson - R. Hood,All Around Guard-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,2017-18
2544,LeBron James,2544-2594-201145-201565-1626224,L. James - K. Korver - J. Green - D. Rose - C. Osman,Glue guy-Glue guy-Movement Shooter-Wing Shot Creator,2017-18
2544,LeBron James,2544-2594-201145-201567-202697,L. James - K. Korver - J. Green - K. Love - I. Shumpert,All Around Guard-Movement Shooter-Stretch Big-Wing Shot Creator,2017-18
2544,LeBron James,2544-2594-2747-201565-201567,L. James - K. Korver - J. Smith - D. Rose - K. Love,All Around Guard-Glue guy-Movement Shooter-Stretch Big,2017-18
2544,LeBron James,2544-2594-2747-201588-1626204,L. James - K. Korver - J. Smith - G. Hill - L. Nance Jr.,All Around Guard-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,2017-18
2544,LeBron James,2544-2594-2747-201588-203918,L. James - K. Korver - J. Smith - G. Hill - R. Hood,All Around Guard-All Around Guard-Movement Shooter-Shot Creator Guard,2017-18
2544,LeBron James,2544-2594-2747-201588-202684,L. James - K. Korver - J. Smith - G. Hill - T. Thompson,All Around Guard-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,2017-18
2544,LeBron James,2544-2594-2747-201145-1626224,L. James - K. Korver - J. Smith - J. Green - C. Osman,All Around Guard-Glue guy-Movement Shooter-Wing Shot Creator,2017-18
2544,LeBron James,2544-2594-2747-201145-202697,L. James - K. Korver - J. Smith - J. Green - I. Shumpert,All Around Guard-All Around Guard-Movement Shooter-Wing Shot Creator,2017-18
2544,LeBron James,2544-201567-202684-202697-203109,L. James - K. Love - T. Thompson - I. Shumpert - J. Crowder,All Around Guard-Glue guy-Rim Runner/Protector-Stretch Big,2017-18
2544,LeBron James,2544-2548-201145-202684-202738,L. James - D. Wade - J. Green - T. Thompson - I. Thomas,All Around Guard-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,2017-18
2544,LeBron James,2544-2548-2747-101181-203109,L. James - D. Wade - J. Smith - J. Calderon - J. Crowder,All Around Guard-Glue guy-Movement Shooter-Shot Creator Guard,2017-18
2544,LeBron James,2544-2548-2594-101112-1626224,L. James - D. Wade - K. Korver - C. Frye - C. Osman,Glue guy-Movement Shooter-Shot Creator Guard-Stretch Big,2017-18
